,treatment,block,Year,species,group,percentcover
1107,Drought,B,2,Arrhenatherum_elatius,Grass,3
1108,Drought,B,2,Brachypodium_pinnatum,Grass,5
1109,Drought,B,2,Clinopodium_vulgare,Forbs,5
1110,Drought,B,2,Crepis_capillaris,Forbs,1
1111,Drought,B,2,Festuca_rubra,Grass,10
1112,Drought,B,2,Galium_mollugo,Forbs,35
1113,Drought,B,2,Geranium_dissectum,Forbs,2
1114,Drought,B,2,Helictotrichon_pubescens,Grass,3
1115,Drought,B,2,Holcus_lanatus,Grass,1
1116,Drought,B,2,Linum_catharticum,Forbs,1
1117,Drought,B,2,Lolium_perenne,Grass,1
1118,Drought,B,2,Lotus_corniculatus,Legumes,1
1119,Drought,B,2,Medicago_lupulina,Legumes,5
1120,Drought,B,2,Pastinaca_sativa,Forbs,2
1121,Drought,B,2,Potentilla_reptans,Forbs,1
1122,Drought,B,2,Primula_veris,Forbs,3
1123,Drought,B,2,Rubus_fruticosus,Forbs,3
1124,Drought,B,2,Scorzoneroides_autumnalis,Forbs,1
1125,Drought,B,2,Trifolium_pratense,Legumes,15
1126,Drought,B,2,Trifolium_repens,Legumes,10
1127,Drought,B,2,Trisetum_flavescens,Grass,1
1128,Drought,B,2,Veronica_chamaedrys,Forbs,1
1129,Drought,B,3,Agrimonia_eupatoria,Forbs,3
1130,Drought,B,3,Agrostis_stolonifera,Grass,1
1131,Drought,B,3,Anthriscus_sylvestris,Forbs,1
1132,Drought,B,3,Arrhenatherum_elatius,Grass,20
1133,Drought,B,3,Brachypodium_pinnatum,Grass,25
1134,Drought,B,3,Clinopodium_vulgare,Forbs,1
1135,Drought,B,3,Crataegus_monogyna,Woody,1
1136,Drought,B,3,Crepis_capillaris,Forbs,1
1137,Drought,B,3,Festuca_rubra,Grass,1
1138,Drought,B,3,Galium_album,Forbs,10
1139,Drought,B,3,Galium_verum,Forbs,8
1140,Drought,B,3,Geranium_columbinum,Forbs,1
1141,Drought,B,3,Glechoma_hederacea,Forbs,1
1142,Drought,B,3,Holcus_lanatus,Grass,4
1143,Drought,B,3,Hypericum_perforatum,Forbs,1
1144,Drought,B,3,Linum_catharticum,Forbs,1
1145,Drought,B,3,Lotus_corniculatus,Legumes,1
1146,Drought,B,3,Medicago_lupulina,Legumes,3
1147,Drought,B,3,Pastinaca_sativa,Forbs,1
1148,Drought,B,3,Potentilla_reptans,Forbs,1
1149,Drought,B,3,Primula_veris,Forbs,1
1150,Drought,B,3,Prunella_vulgaris,Forbs,1
1151,Drought,B,3,Rubus_idaus,Forbs,1
1152,Drought,B,3,Scorzoneroides_autumnalis,Forbs,1
1153,Drought,B,3,Taraxacum_sect_vulgaria,Forbs,1
1154,Drought,B,3,Trifolium_pratense,Legumes,20
1155,Drought,B,3,Trifolium_repens,Legumes,3
1156,Drought,B,3,Trisetum_flavescens,Grass,5
1157,Drought,B,3,Veronica_chamaedrys,Forbs,1
1158,Drought,B,3,Vicia_sativa,Legumes,1
1159,Drought,B,3,Viola_hirta,Forbs,1
1160,Drought,B,4,Agrimonia_eupatoria,Forbs,18
1161,Drought,B,4,Agrostis_stolonifera,Grass,2
1162,Drought,B,4,Anacamptis_pyramidalis,Forbs,1
1163,Drought,B,4,Arrhenatherum_elatius,Grass,10
1164,Drought,B,4,Brachypodium_pinnatum,Grass,30
1165,Drought,B,4,Bromus_commutatus,Grass,2
1166,Drought,B,4,Bromus_sterilis,Grass,2
1167,Drought,B,4,Clinopodium_vulgare,Forbs,2
1168,Drought,B,4,Crepis_capillaris,Forbs,1
1169,Drought,B,4,Danthonia_decumbens,Grass,1
1170,Drought,B,4,Festuca_rubra,Grass,12
1171,Drought,B,4,Galium_mollugo,Forbs,40
1172,Drought,B,4,Geranium_columbinum,Forbs,3
1173,Drought,B,4,Geranium_dissectum,Forbs,1
1174,Drought,B,4,Glechoma_hederacea,Forbs,1
1175,Drought,B,4,Holcus_lanatus,Grass,3
1176,Drought,B,4,Hypericum_perforatum,Forbs,1
1177,Drought,B,4,Lotus_corniculatus,Legumes,2
1178,Drought,B,4,Poa_trivialis,Grass,5
1179,Drought,B,4,Potentilla_reptans,Forbs,4
1180,Drought,B,4,Primula_veris,Forbs,18
1181,Drought,B,4,Rubus_fruticosus,Forbs,1
1182,Drought,B,4,Taraxacum_sect_vulgaria,Forbs,1
1183,Drought,B,4,Trifolium_pratense,Legumes,8
1184,Drought,B,4,Trifolium_repens,Legumes,2
1185,Drought,B,4,Trisetum_flavescens,Grass,15
1186,Drought,B,4,Veronica_chamaedrys,Forbs,1
1187,Drought,B,4,Vicia_sativa,Legumes,1
1188,Drought,B,4,Viola_hirta,Forbs,1
1189,Drought,B,5,Agrimonia_eupatoria,Forbs,8
1190,Drought,B,5,Agrostis_stolonifera,Grass,2
1191,Drought,B,5,Anacamptis_pyramidalis,Forbs,1
1192,Drought,B,5,Arrhenatherum_elatius,Grass,4
1193,Drought,B,5,Brachypodium_pinnatum,Grass,25
1194,Drought,B,5,Bromus_commutatus,Grass,2
1195,Drought,B,5,Bromus_sterilis,Grass,3
1196,Drought,B,5,Clinopodium_vulgare,Forbs,4
1197,Drought,B,5,Convolvulus_arvensis,Forbs,1
1198,Drought,B,5,Crepis_capillaris,Forbs,1
1199,Drought,B,5,Festuca_rubra,Grass,15
1200,Drought,B,5,Galium_mollugo,Forbs,40
1201,Drought,B,5,Geranium_columbinum,Forbs,1
1202,Drought,B,5,Geranium_dissectum,Forbs,2
1203,Drought,B,5,Glechoma_hederacea,Forbs,1
1204,Drought,B,5,Holcus_lanatus,Grass,3
1205,Drought,B,5,Hypericum_perforatum,Forbs,1
1206,Drought,B,5,Linum_catharticum,Forbs,1
1207,Drought,B,5,Lotus_corniculatus,Legumes,2
1208,Drought,B,5,Medicago_lupulina,Legumes,4
1209,Drought,B,5,Poa_trivialis,Grass,3
1210,Drought,B,5,Potentilla_reptans,Forbs,4
1211,Drought,B,5,Primula_veris,Forbs,10
1212,Drought,B,5,Rubus_fruticosus,Forbs,2
1213,Drought,B,5,Taraxacum_sect_vulgaria,Forbs,1
1214,Drought,B,5,Tragopogon_pratensis,Forbs,1
1215,Drought,B,5,Trifolium_pratense,Legumes,1
1216,Drought,B,5,Trifolium_repens,Legumes,3
1217,Drought,B,5,Trisetum_flavescens,Grass,12
1218,Drought,B,5,Veronica_chamaedrys,Forbs,1
1219,Drought,B,5,Vicia_sativa,Legumes,1
1220,Drought,B,6,Agrimonia_eupatoria,Forbs,10
1221,Drought,B,6,Arrhenatherum_elatius,Grass,2
1222,Drought,B,6,Brachypodium_pinnatum,Grass,20
1223,Drought,B,6,Bromus_commutatus,Grass,2
1224,Drought,B,6,Bromus_sterilis,Grass,4
1225,Drought,B,6,Clinopodium_vulgare,Forbs,2
1226,Drought,B,6,Convolvulus_arvensis,Forbs,1
1227,Drought,B,6,Crepis_capillaris,Forbs,1
1228,Drought,B,6,Festuca_rubra,Grass,5
1229,Drought,B,6,Galium_mollugo,Forbs,20
1230,Drought,B,6,Geranium_columbinum,Forbs,1
1231,Drought,B,6,Geranium_dissectum,Forbs,2
1232,Drought,B,6,Glechoma_hederacea,Forbs,1
1233,Drought,B,6,Holcus_lanatus,Grass,1
1234,Drought,B,6,Hypericum_perforatum,Forbs,1
1235,Drought,B,6,Linum_catharticum,Forbs,1
1236,Drought,B,6,Lolium_perenne,Grass,1
1237,Drought,B,6,Lotus_corniculatus,Legumes,2
1238,Drought,B,6,Medicago_lupulina,Legumes,6
1239,Drought,B,6,Pastinaca_sativa,Forbs,1
1240,Drought,B,6,Poa_trivialis,Grass,3
1241,Drought,B,6,Potentilla_reptans,Forbs,1
1242,Drought,B,6,Primula_veris,Forbs,12
1243,Drought,B,6,Taraxacum_sect_vulgaria,Forbs,1
1244,Drought,B,6,Trifolium_pratense,Legumes,4
1245,Drought,B,6,Trifolium_repens,Legumes,5
1246,Drought,B,6,Trisetum_flavescens,Grass,25
1247,Drought,B,6,Veronica_chamaedrys,Forbs,3
1248,Drought,B,7,Agrimonia_eupatoria,Forbs,4
1249,Drought,B,7,Arrhenatherum_elatius,Grass,1
1250,Drought,B,7,Brachypodium_pinnatum,Grass,25
1251,Drought,B,7,Brachypodium_sylvaticum,Grass,3
1252,Drought,B,7,Bromus_commutatus,Grass,1
1253,Drought,B,7,Bromus_sterilis,Grass,15
1254,Drought,B,7,Cerastium_fontanum,Forbs,1
1255,Drought,B,7,Clinopodium_vulgare,Forbs,2
1256,Drought,B,7,Crepis_biennis,Forbs,1
1257,Drought,B,7,Crepis_capillaris,Forbs,1
1258,Drought,B,7,Festuca_rubra,Grass,3
1259,Drought,B,7,Galium_mollugo,Forbs,25
1260,Drought,B,7,Geranium_columbinum,Forbs,1
1261,Drought,B,7,Geranium_dissectum,Forbs,1
1262,Drought,B,7,Lotus_corniculatus,Legumes,3
1263,Drought,B,7,Pastinaca_sativa,Forbs,1
1264,Drought,B,7,Poa_trivialis,Grass,1
1265,Drought,B,7,Primula_veris,Forbs,10
1266,Drought,B,7,Rubus_fruticosus,Forbs,2
1267,Drought,B,7,Taraxacum_sect._vulgaria,Forbs,1
1268,Drought,B,7,Tragopogon_pratensis,Forbs,1
1269,Drought,B,7,Trifolium_pratense,Legumes,4
1270,Drought,B,7,Trifolium_repens,Legumes,3
1271,Drought,B,7,Trisetum_flavescens,Grass,25
1272,Drought,B,7,Veronica_chamaedrys,Forbs,1
1273,Drought,B,7,Vicia_sativa,Legumes,1
1274,Drought,C,1,Agrimonia_eupatoria,Forbs,7
1275,Drought,C,1,Arrhenatherum_elatius,Grass,1
1276,Drought,C,1,Brachypodium_sylvaticum,Grass,0.1
1277,Drought,C,1,Centaurea_nigra,Forbs,5
1278,Drought,C,1,Cerastium_fontanum,Forbs,0.1
1279,Drought,C,1,Clinopodium_vulgare,Forbs,17
1280,Drought,C,1,Galium_verum,Forbs,3
1281,Drought,C,1,Geranium_dissectum,Forbs,8
1282,Drought,C,1,Geranium_pusillum,Forbs,3
1283,Drought,C,1,Holcus_lanatus,Grass,25
1284,Drought,C,1,Hypericum_perforatum,Forbs,4
1285,Drought,C,1,Lotus_corniculatus,Legumes,32
1286,Drought,C,1,Medicago_lupulina,Legumes,6
1287,Drought,C,1,Pastinaca_sativa,Forbs,3
1288,Drought,C,1,Poa_pratensis,Grass,0.1
1289,Drought,C,1,Poa_trivialis,Grass,0.1
1290,Drought,C,1,Potentilla_reptans,Forbs,8
1291,Drought,C,1,Primula_veris,Forbs,0.1
1292,Drought,C,1,Scorzoneroides_autumnalis,Forbs,6
1293,Drought,C,1,Tragopogon_pratensis,Forbs,1
1294,Drought,C,1,Trifolium_repens,Legumes,4
1295,Drought,C,1,Trisetum_flavescens,Grass,20
1296,Drought,C,1,Veronica_chamaedrys,Forbs,0.1
1297,Drought,C,2,Agrimonia_eupatoria,Forbs,3
1298,Drought,C,2,Arrhenatherum_elatius,Grass,3
1299,Drought,C,2,Brachypodium_pinnatum,Grass,3
1300,Drought,C,2,Bromus_hordaceus,Grass,2
1301,Drought,C,2,Clinopodium_vulgare,Forbs,4
1302,Drought,C,2,Galium_verum,Forbs,2
1303,Drought,C,2,Geranium_dissectum,Forbs,1
1304,Drought,C,2,Glechoma_hederacea,Forbs,4
1305,Drought,C,2,Holcus_lanatus,Grass,1
1306,Drought,C,2,Linum_catharticum,Forbs,15
1307,Drought,C,2,Lotus_corniculatus,Legumes,60
1308,Drought,C,2,Medicago_lupulina,Legumes,5
1309,Drought,C,2,Pastinaca_sativa,Forbs,2
1310,Drought,C,2,Poa_pratensis,Grass,2
1311,Drought,C,2,Potentilla_reptans,Forbs,7
1312,Drought,C,2,Rubus_fruticosus,Forbs,2
1313,Drought,C,2,Scorzoneroides_autumnalis,Forbs,3
1314,Drought,C,2,Trifolium_repens,Legumes,10
1315,Drought,C,2,Trisetum_flavescens,Grass,1
1316,Drought,C,3,Agrimonia_eupatoria,Forbs,3
1317,Drought,C,3,Arrhenatherum_elatius,Grass,20
1318,Drought,C,3,Brachypodium_pinnatum,Grass,1
1319,Drought,C,3,Clinopodium_vulgare,Forbs,3
1320,Drought,C,3,Crepis_capillaris,Forbs,1
1321,Drought,C,3,Dactylis_glomerata,Grass,1
1322,Drought,C,3,Galium_verum,Forbs,1
1323,Drought,C,3,Geranium_columbinum,Forbs,2
1324,Drought,C,3,Glechoma_hederacea,Forbs,1
1325,Drought,C,3,Hyacinthoides_non_scripta,Forbs,1
1326,Drought,C,3,Hypericum_hirsutum,Forbs,1
1327,Drought,C,3,Hypericum_perforatum,Forbs,1
1328,Drought,C,3,Linum_catharticum,Forbs,1
1329,Drought,C,3,Lotus_corniculatus,Legumes,30
1330,Drought,C,3,Medicago_lupulina,Legumes,2
1331,Drought,C,3,Pastinaca_sativa,Forbs,1
1332,Drought,C,3,Poa_pratensis,Grass,1
1333,Drought,C,3,Potentilla_reptans,Forbs,1
1334,Drought,C,3,Prunella_vulgaris,Forbs,1
1335,Drought,C,3,Rubus_idaus,Forbs,3
1336,Drought,C,3,Scorzoneroides_autumnalis,Forbs,1
1337,Drought,C,3,Senecio_erucifolius,Forbs,2
1338,Drought,C,3,Senecio_jacobaea,Forbs,2
1339,Drought,C,3,Taraxacum_sect_vulgaria,Forbs,1
1340,Drought,C,3,Trifolium_pratense,Legumes,1
1341,Drought,C,3,Trifolium_repens,Legumes,15
1342,Drought,C,3,Trisetum_flavescens,Grass,5
1343,Drought,C,3,Veronica_chamaedrys,Forbs,1
1344,Drought,C,3,Vicia_sativa,Legumes,1
1345,Drought,C,4,Agrimonia_eupatoria,Forbs,3
1346,Drought,C,4,Agrostis_stolonifera,Grass,3
1347,Drought,C,4,Arrhenatherum_elatius,Grass,2
1348,Drought,C,4,Brachypodium_pinnatum,Grass,5
1349,Drought,C,4,Brachypodium_sylvaticum,Grass,3
1350,Drought,C,4,Bromus_commutatus,Grass,1
1351,Drought,C,4,Cerastium_fontanum,Forbs,1
1352,Drought,C,4,Clinopodium_vulgare,Forbs,4
1353,Drought,C,4,Crepis_capillaris,Forbs,1
1354,Drought,C,4,Dactylis_glomerata,Grass,2
1355,Drought,C,4,Festuca_rubra,Grass,10
1356,Drought,C,4,Galium_verum,Forbs,1
1357,Drought,C,4,Geranium_columbinum,Forbs,1
1358,Drought,C,4,Glechoma_hederacea,Forbs,1
1359,Drought,C,4,Holcus_lanatus,Grass,1
1360,Drought,C,4,Hypericum_perforatum,Forbs,2
1361,Drought,C,4,Lolium_perenne,Grass,1
1362,Drought,C,4,Lotus_corniculatus,Legumes,55
1363,Drought,C,4,Pastinaca_sativa,Forbs,1
1364,Drought,C,4,Potentilla_reptans,Forbs,2
1365,Drought,C,4,Prunella_vulgaris,Forbs,1
1366,Drought,C,4,Rubus_fruticosus,Forbs,1
1367,Drought,C,4,Senecio_erucifolius,Forbs,1
1368,Drought,C,4,Senecio_jacobaea,Forbs,2
1369,Drought,C,4,Trifolium_pratense,Legumes,2
1370,Drought,C,4,Trifolium_repens,Legumes,2
1371,Drought,C,4,Trisetum_flavescens,Grass,8
1372,Drought,C,4,Veronica_chamaedrys,Forbs,2
1373,Drought,C,4,Vicia_sativa,Legumes,1
1374,Drought,C,5,Agrimonia_eupatoria,Forbs,2
1375,Drought,C,5,Agrostis_stolonifera,Grass,2
1376,Drought,C,5,Arrhenatherum_elatius,Grass,4
1377,Drought,C,5,Brachypodium_pinnatum,Grass,8
1378,Drought,C,5,Brachypodium_sylvaticum,Grass,2
1379,Drought,C,5,Bromus_commutatus,Grass,3
1380,Drought,C,5,Cerastium_fontanum,Forbs,1
1381,Drought,C,5,Clinopodium_vulgare,Forbs,12
1382,Drought,C,5,Crepis_capillaris,Forbs,1
1383,Drought,C,5,Dactylis_glomerata,Grass,2
1384,Drought,C,5,Festuca_rubra,Grass,10
1385,Drought,C,5,Galium_verum,Forbs,2
1386,Drought,C,5,Geranium_columbinum,Forbs,2
1387,Drought,C,5,Geranium_dissectum,Forbs,1
1388,Drought,C,5,Holcus_lanatus,Grass,1
1389,Drought,C,5,Hypericum_perforatum,Forbs,1
1390,Drought,C,5,Linum_catharticum,Forbs,1
1391,Drought,C,5,Lolium_perenne,Grass,2
1392,Drought,C,5,Lotus_corniculatus,Legumes,50
1393,Drought,C,5,Medicago_lupulina,Legumes,2
1394,Drought,C,5,Odontites_vernus,Forbs,1
1395,Drought,C,5,Pastinaca_sativa,Forbs,2
1396,Drought,C,5,Potentilla_reptans,Forbs,2
1397,Drought,C,5,Prunella_vulgaris,Forbs,1
1398,Drought,C,5,Rubus_fruticosus,Forbs,3
1399,Drought,C,5,Senecio_jacobaea,Forbs,1
1400,Drought,C,5,Sherardia_arvensis,Forbs,1
1401,Drought,C,5,Taraxacum_sect_vulgaria,Forbs,1
1402,Drought,C,5,Tragopogon_pratensis,Forbs,1
1403,Drought,C,5,Trifolium_pratense,Legumes,1
1404,Drought,C,5,Trifolium_repens,Legumes,1
1405,Drought,C,5,Trisetum_flavescens,Grass,18
1406,Drought,C,5,Veronica_chamaedrys,Forbs,1
1407,Drought,C,5,Vicia_hirsuta,Legumes,1
1408,Drought,C,5,Vicia_sativa,Legumes,1
1409,Drought,C,6,Agrimonia_eupatoria,Forbs,3
1410,Drought,C,6,Arrhenatherum_elatius,Grass,4
1411,Drought,C,6,Brachypodium_pinnatum,Grass,15
1412,Drought,C,6,Brachypodium_sylvaticum,Grass,1
1413,Drought,C,6,Bromus_commutatus,Grass,3
1414,Drought,C,6,Cerastium_fontanum,Forbs,1
1415,Drought,C,6,Clinopodium_vulgare,Forbs,3
1416,Drought,C,6,Crepis_capillaris,Forbs,1
1417,Drought,C,6,Dactylis_glomerata,Grass,2
1418,Drought,C,6,Festuca_rubra,Grass,6
1419,Drought,C,6,Galium_verum,Forbs,2
1420,Drought,C,6,Geranium_columbinum,Forbs,1
1421,Drought,C,6,Geranium_dissectum,Forbs,1
1422,Drought,C,6,Hypericum_perforatum,Forbs,1
1423,Drought,C,6,Linum_catharticum,Forbs,1
1424,Drought,C,6,Lolium_perenne,Grass,2
1425,Drought,C,6,Lotus_corniculatus,Legumes,35
1426,Drought,C,6,Medicago_lupulina,Legumes,8
1427,Drought,C,6,Pastinaca_sativa,Forbs,2
1428,Drought,C,6,Potentilla_reptans,Forbs,3
1429,Drought,C,6,Prunella_vulgaris,Forbs,1
1430,Drought,C,6,Rubus_fruticosus,Forbs,3
1431,Drought,C,6,Senecio_jacobaea,Forbs,1
1432,Drought,C,6,Taraxacum_sect_vulgaria,Forbs,1
1433,Drought,C,6,Tragopogon_pratensis,Forbs,1
1434,Drought,C,6,Trifolium_pratense,Legumes,2
1435,Drought,C,6,Trifolium_repens,Legumes,1
1436,Drought,C,6,Trisetum_flavescens,Grass,18
1437,Drought,C,6,Veronica_chamaedrys,Forbs,1
1438,Drought,C,6,Vicia_hirsuta,Legumes,1
1439,Drought,C,6,Vicia_sativa,Legumes,2
1440,Drought,C,7,Agrimonia_eupatoria,Forbs,2
1441,Drought,C,7,Arrhenatherum_elatius,Grass,2
1442,Drought,C,7,Brachypodium_pinnatum,Grass,12
1443,Drought,C,7,Bromus_commutatus,Grass,5
1444,Drought,C,7,Cerastium_fontanum,Forbs,1
1445,Drought,C,7,Cirsium_eriophorum,Forbs,2
1446,Drought,C,7,Clinopodium_vulgare,Forbs,8
1447,Drought,C,7,Crepis_capillaris,Forbs,2
1448,Drought,C,7,Dactylis_glomerata,Grass,2
1449,Drought,C,7,Festuca_rubra,Grass,4
1450,Drought,C,7,Galium_verum,Forbs,4
1451,Drought,C,7,Geranium_columbinum,Forbs,1
1452,Drought,C,7,Geranium_dissectum,Forbs,1
1453,Drought,C,7,Hypericum_perforatum,Forbs,1
1454,Drought,C,7,Lolium_perenne,Grass,1
1455,Drought,C,7,Lotus_corniculatus,Legumes,25
1456,Drought,C,7,Odontites_verna,Forbs,1
1457,Drought,C,7,Orobanche_minor,Forbs,1
1458,Drought,C,7,Pastinaca_sativa,Forbs,1
1459,Drought,C,7,Potentilla_reptans,Forbs,2
1460,Drought,C,7,Primula_veris,Forbs,1
1461,Drought,C,7,Prunella_vulgaris,Forbs,1
1462,Drought,C,7,Rubus_fruticosus,Forbs,2
1463,Drought,C,7,Senecio_jacobaea,Forbs,1
1464,Drought,C,7,Taraxacum_sect._vulgaria,Forbs,1
1465,Drought,C,7,Tragopogon_pratensis,Forbs,1
1466,Drought,C,7,Trifolium_pratense,Legumes,3
1467,Drought,C,7,Trifolium_repens,Legumes,1
1468,Drought,C,7,Trisetum_flavescens,Grass,30
1469,Drought,C,7,Veronica_chamaedrys,Forbs,1
1470,Drought,D,1,Agrimonia_eupatoria,Forbs,8
1471,Drought,D,1,Arrhenatherum_elatius,Grass,7
1472,Drought,D,1,Brachypodium_sylvaticum,Grass,12
1473,Drought,D,1,Cirsium_eriophorum,Forbs,20
1474,Drought,D,1,Clinopodium_vulgare,Forbs,40
1475,Drought,D,1,Crepis_capillaris,Forbs,1
1476,Drought,D,1,Dactylis_glomerata,Grass,5
1477,Drought,D,1,Festuca_rubra,Grass,10
1478,Drought,D,1,Geranium_dissectum,Forbs,5
1479,Drought,D,1,Glechoma_hederacea,Forbs,0.1
1480,Drought,D,1,Holcus_lanatus,Grass,3
1481,Drought,D,1,Hypericum_perforatum,Forbs,1
1482,Drought,D,1,Medicago_lupulina,Legumes,2
1483,Drought,D,1,Pastinaca_sativa,Forbs,3
1484,Drought,D,1,Poa_trivialis,Grass,15
1485,Drought,D,1,Potentilla_reptans,Forbs,1
1486,Drought,D,1,Ranunculus_acris,Forbs,1
1487,Drought,D,1,Rhinanthus_minor,Forbs,0.1
1488,Drought,D,1,Trifolium_repens,Legumes,3
1489,Drought,D,1,Trisetum_flavescens,Grass,20
1490,Drought,D,1,Veronica_chamaedrys,Forbs,0.1
1491,Drought,D,1,Vicia_sativa,Legumes,0.1
1492,Drought,D,2,Agrimonia_eupatoria,Forbs,5
1493,Drought,D,2,Arrhenatherum_elatius,Grass,8
1494,Drought,D,2,Cirsium_vulgare,Forbs,2
1495,Drought,D,2,Clinopodium_vulgare,Forbs,10
1496,Drought,D,2,Dactylis_glomerata,Grass,2
1497,Drought,D,2,Festuca_rubra,Grass,25
1498,Drought,D,2,Galium_verum,Forbs,4
1499,Drought,D,2,Geranium_dissectum,Forbs,4
1500,Drought,D,2,Glechoma_hederacea,Forbs,4
1501,Drought,D,2,Holcus_lanatus,Grass,4
1502,Drought,D,2,Hypericum_perforatum,Forbs,10
1503,Drought,D,2,Linum_catharticum,Forbs,2
1504,Drought,D,2,Lolium_perenne,Grass,2
1505,Drought,D,2,Lotus_corniculatus,Legumes,4
1506,Drought,D,2,Medicago_lupulina,Legumes,2
1507,Drought,D,2,Pastinaca_sativa,Forbs,2
1508,Drought,D,2,Poa_pratensis,Grass,5
1509,Drought,D,2,Poa_trivialis,Grass,2
1510,Drought,D,2,Potentilla_reptans,Forbs,12
1511,Drought,D,2,Ranunculus_acris,Forbs,1
1512,Drought,D,2,Sanguisorba_minor,Forbs,5
1513,Drought,D,2,Scorzoneroides_autumnalis,Forbs,4
1514,Drought,D,2,Trifolium_pratense,Legumes,20
1515,Drought,D,2,Trisetum_flavescens,Grass,5
1516,Drought,D,2,Veronica_chamaedrys,Forbs,4
1517,Drought,D,3,Agrimonia_eupatoria,Forbs,10
1518,Drought,D,3,Anacamptis_pyramidalis,Forbs,1
1519,Drought,D,3,Arrhenatherum_elatius,Grass,25
1520,Drought,D,3,Carex_flacca,Grass,1
1521,Drought,D,3,Cirsium_eriophorum,Forbs,2
1522,Drought,D,3,Clinopodium_vulgare,Forbs,5
1523,Drought,D,3,Convolvulus_arvensis,Forbs,1
1524,Drought,D,3,Crepis_capillaris,Forbs,1
1525,Drought,D,3,Dactylis_glomerata,Grass,2
1526,Drought,D,3,Elytrigia_repens,Grass,5
1527,Drought,D,3,Festuca_rubra,Grass,20
1528,Drought,D,3,Galium_verum,Forbs,2
1529,Drought,D,3,Geranium_columbinum,Forbs,1
1530,Drought,D,3,Geranium_dissectum,Forbs,1
1531,Drought,D,3,Glechoma_hederacea,Forbs,1
1532,Drought,D,3,Holcus_lanatus,Grass,2
1533,Drought,D,3,Hypericum_perforatum,Forbs,5
1534,Drought,D,3,Linum_catharticum,Forbs,1
1535,Drought,D,3,Lolium_perenne,Grass,1
1536,Drought,D,3,Lotus_corniculatus,Legumes,10
1537,Drought,D,3,Medicago_lupulina,Legumes,2
1538,Drought,D,3,Pastinaca_sativa,Forbs,2
1539,Drought,D,3,Poa_trivialis,Grass,1
1540,Drought,D,3,Potentilla_reptans,Forbs,3
1541,Drought,D,3,Prunella_vulgaris,Forbs,1
1542,Drought,D,3,Senecio_erucifolius,Forbs,1
1543,Drought,D,3,Taraxacum_sect_vulgaria,Forbs,1
1544,Drought,D,3,Trifolium_pratense,Legumes,10
1545,Drought,D,3,Trifolium_repens,Legumes,1
1546,Drought,D,3,Veronica_chamaedrys,Forbs,7
1547,Drought,D,3,Vicia_sativa,Legumes,1
1548,Drought,D,4,Agrimonia_eupatoria,Forbs,6
1549,Drought,D,4,Agrostis_capillaris,Grass,2
1550,Drought,D,4,Arrhenatherum_elatius,Grass,3
1551,Drought,D,4,Brachypodium_pinnatum,Grass,2
1552,Drought,D,4,Carex_flacca,Grass,1
1553,Drought,D,4,Cirsium_eriophorum,Forbs,3
1554,Drought,D,4,Clinopodium_vulgare,Forbs,2
1555,Drought,D,4,Dactylis_glomerata,Grass,1
1556,Drought,D,4,Festuca_rubra,Grass,28
1557,Drought,D,4,Galium_verum,Forbs,4
1558,Drought,D,4,Geranium_columbinum,Forbs,1
1559,Drought,D,4,Geranium_dissectum,Forbs,3
1560,Drought,D,4,Glechoma_hederacea,Forbs,1
1561,Drought,D,4,Holcus_lanatus,Grass,1
1562,Drought,D,4,Hypericum_perforatum,Forbs,4
1563,Drought,D,4,Leontodon_autumnalis,Forbs,1
1564,Drought,D,4,Lolium_perenne,Grass,2
1565,Drought,D,4,Lotus_corniculatus,Legumes,1
1566,Drought,D,4,Pastinaca_sativa,Forbs,2
1567,Drought,D,4,Phleum_bertinolii,Grass,1
1568,Drought,D,4,Potentilla_reptans,Forbs,8
1569,Drought,D,4,Taraxacum_sect_vulgaria,Forbs,1
1570,Drought,D,4,Trifolium_pratense,Legumes,1
1571,Drought,D,4,Trifolium_repens,Legumes,2
1572,Drought,D,4,Trisetum_flavescens,Grass,30
1573,Drought,D,4,Veronica_chamaedrys,Forbs,1
1574,Drought,D,4,Vicia_sativa,Legumes,1
1575,Drought,D,5,Agrimonia_eupatoria,Forbs,8
1576,Drought,D,5,Arrhenatherum_elatius,Grass,4
1577,Drought,D,5,Brachypodium_pinnatum,Grass,2
1578,Drought,D,5,Bromus_sterilis,Grass,4
1579,Drought,D,5,Carex_flacca,Grass,1
1580,Drought,D,5,Cerastium_fontanum,Forbs,1
1581,Drought,D,5,Cirsium_eriophorum,Forbs,1
1582,Drought,D,5,Clinopodium_vulgare,Forbs,3
1583,Drought,D,5,Convolvulus_arvensis,Forbs,1
1584,Drought,D,5,Crepis_capillaris,Forbs,1
1585,Drought,D,5,Dactylis_glomerata,Grass,1
1586,Drought,D,5,Festuca_rubra,Grass,25
1587,Drought,D,5,Galium_verum,Forbs,20
1588,Drought,D,5,Geranium_columbinum,Forbs,2
1589,Drought,D,5,Geranium_dissectum,Forbs,1
1590,Drought,D,5,Holcus_lanatus,Grass,1
1591,Drought,D,5,Hypericum_perforatum,Forbs,1
1592,Drought,D,5,Lolium_perenne,Grass,2
1593,Drought,D,5,Lotus_corniculatus,Legumes,3
1594,Drought,D,5,Medicago_lupulina,Legumes,3
1595,Drought,D,5,Potentilla_reptans,Forbs,4
1596,Drought,D,5,Ranunculus_repens,Forbs,1
